id,name,description,imgPath,probability,fishingPower,fishSpeed,fidhGreenDifficulty,yellowDifficulty,currencyId,currencyFromFish,levelName,minSize,maxSize,isRareFish
0,premium,premium,./images/fish/premium.png,0.5,0,1,1,100,0,1,premium,1,10,0
1,Dirt Fish,fish made out of dirt,./images/fish/dirtFish.png,45,10,1,1,1,1,1,world1,1,10,0
2,Leaf Fish,leaf,./images/fish/leaf.png,25,20,1,2,2,1,2,world1,1,10,0
3,Rock Fish,rock,./images/fish/rock.png,15,30,1,1,1,1,3,world1,1,10,0
4,Stick Fish,stick,./images/fish/stick.png,10,40,1,1,1,1,4,world1,1,10,0
5,Tree Fish,tree,./images/fish/tree.png,5,50,1,1,1,1,5,world1,1,10,0
6,tmp,tmp description,./images/fish/tmp.png,1,1,1,1,1,1,1,world1,1,10,1
7,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,1,1,world1,1,10,1
8,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,1,1,world1,1,10,1
9,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,1,1,world1,1,10,1
10,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,1,1,world1,1,10,1
11,Buoy Fish,How does it go under water,./images/fish/buoy.png,100,30,1,1,1,2,100,world2,1,10,0
12,Coral Fish,coral,./images/fish/coral.png,100,40,1,1,1,2,100,world2,1,10,0
13,Fish Bowl Fish,fish bowl,./images/fish/fishBowl.png,0,50,1,1,1,2,0,world2,1,10,0
14,Cup of Fish,cup of fish,./images/fish/cupOfFish.png,0,60,1,1,1,2,0,world2,1,10,0
15,Light House Fish,light house,./images/fish/lightHouse.png,0,70,1,1,1,2,0,world2,1,10,0
16,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,2,1,world2,1,10,1
17,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,2,1,world2,1,10,1
18,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,2,1,world2,1,10,1
19,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,2,1,world2,1,10,1
20,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,2,1,world2,1,10,1
21,Coconut Fish,coconut,./images/fish/coconut.png,100,10,1,1,1,3,100,world3,1,10,0
22,Bamboo Fish,bamboo,./images/fish/bamboo.png,100,10,1,1,1,3,100,world3,1,10,0
23,Surfboard Fish,surfboard,./images/fish/surfboard.png,0,0,1,1,1,3,0,world3,1,10,0
24,Beach Chair Fish,beach chair,./images/fish/beachChair.png,0,0,1,1,1,3,0,world3,1,10,0
25,Clown Fish,clown,./images/fish/clown.png,0,0,1,1,1,3,0,world3,1,10,0
26,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,3,1,world3,1,10,1
27,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,3,1,world3,1,10,1
28,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,3,1,world3,1,10,1
29,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,3,1,world3,1,10,1
30,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,3,1,world3,1,10,1
31,Cactus Fish,cactus,./images/fish/cactus.png,100,10,1,1,1,4,100,world4,1,10,0
32,Sand Fish,sand,./images/fish/sand.png,0,0,1,1,1,4,0,world4,1,10,0
33,Glass Fish,glass,./images/fish/glass.png,0,0,1,1,1,4,0,world4,1,10,0
34,Tumbleweed Fish,tumbleweed,./images/fish/tumbleweed.png,0,0,1,1,1,4,0,world4,1,10,0
35,Oasis Fish,oasis,./images/fish/oasis.png,0,0,1,1,1,4,0,world4,1,10,0
36,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,4,1,world4,1,10,1
37,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,4,1,world4,1,10,1
38,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,4,1,world4,1,10,1
