id,name,description,thumbnail,currencyId,price,buffValue
0,Pig,increase fish price,None,1,100,1
1,Monkey,increase max combo,None,1,1000,1
2,Carb,decrease fishing intervals,None,2,10000,1
3,Octopus,chance to double catched fish,None,2,100000,1
4,Worm,increase bait buff,None,3,1000000,1
5,Fox,increase chance of getting higher fish,None,3,10000000,1
6,Golden Fish,increase golden fish buff,None,4,100000000,1
7,Trutle,decrease fish combo speed,None,4,1000000000,1
8,Dog,better fish transporter,None,5,10000000000,1
9,Rabbit,increase converter speeds,None,5,100000000000,1
10,Chase,incrase combo incrase (example +2 if catch on green instead of +1),None,6,1000000000000,1
11,Chameleon,increase golden fish chance,None,6,10000000000000,1
12,Hawk One,increase fish schools,None,7,100000000000000,1
13,Sad White Bush,decrease rain intervals,None,1,1,1
